"Subject","Item","PrecritCode","Index","Bin","Event_code"
304,16,134,2864,1,135
304,25,164,2880,4,165
304,18,144,2915,2,145
304,87,154,2931,3,155
304,49,164,2962,4,165
304,109,164,2998,4,165
304,83,154,3031,3,155
304,60,134,3063,1,136
304,1,164,3097,4,165
304,31,154,3111,3,155
304,72,134,3160,1,135
304,84,134,3177,1,135
304,9,164,3211,4,165
304,19,154,3226,3,155
304,98,144,3258,2,146
304,101,164,3294,4,165
304,15,154,3327,3,155
304,65,164,3345,4,165
304,100,134,3378,1,135
304,21,164,3410,4,165
304,118,144,3423,2,146
304,117,164,3457,4,165
304,37,164,3521,4,165
304,71,154,3537,3,155
304,48,134,3569,1,136
304,7,154,3601,3,155
304,24,134,3647,1,135
304,76,134,3678,1,136
304,11,154,3694,3,155
304,51,154,3725,3,155
304,116,134,3762,1,136
304,104,134,3792,1,135
304,94,144,3827,2,145
304,12,134,3840,1,135
304,20,134,3876,1,135
304,69,164,3890,4,165
305,21,134,7,1,135
305,16,154,35,3,155
305,75,144,69,2,145
305,63,144,86,2,146
305,87,144,119,2,145
305,12,154,135,3,155
305,85,134,167,1,136
305,14,164,187,4,165
305,5,134,218,1,135
305,116,154,233,3,155
305,10,164,263,4,165
305,33,134,282,1,135
305,86,164,316,4,165
305,99,144,332,2,146
305,115,144,362,2,146
305,66,164,380,4,165
305,8,154,411,3,155
305,34,164,500,4,165
305,69,134,523,1,135
305,61,134,556,1,136
305,73,134,591,1,136
305,30,164,623,4,165
305,59,144,673,2,146
305,11,144,725,2,145
305,3,144,757,2,145
305,56,154,771,3,155
305,81,134,803,1,136
305,102,164,820,4,165
305,108,154,870,3,155
305,54,164,883,4,165
305,17,134,946,1,136
305,9,134,962,1,135
305,41,134,1006,1,136
305,65,134,1024,1,136
305,49,134,1054,1,135
305,55,144,1071,2,146
305,70,164,1107,4,165
305,29,134,1127,1,135
305,20,154,1160,3,155
305,6,164,1173,4,165
305,27,144,1203,2,145
305,96,154,1223,3,155
305,2,164,1255,4,165
305,82,164,1285,4,165
305,64,154,1320,3,155
305,110,164,1355,4,165
305,36,154,1386,3,155
305,78,164,1405,4,165
305,90,164,1439,4,165
305,7,144,1471,2,145
305,118,164,1486,4,165
305,19,144,1521,2,145
305,97,134,1538,1,136
305,51,144,1571,2,145
305,45,134,1607,1,136
305,103,144,1638,2,146
305,79,144,1671,2,146
305,89,134,1690,1,136
305,37,134,1721,1,135
305,91,144,1752,2,146
305,94,164,1779,4,165
305,24,154,1809,3,155
305,109,134,1843,1,136
305,71,144,1911,2,146
305,74,164,1978,4,165
305,77,134,1995,1,136
305,58,164,2028,4,165
305,42,164,2074,4,165
305,106,164,2090,4,165
305,68,154,2119,3,155
305,62,164,2156,4,165
305,40,154,2262,3,155
305,18,164,2281,4,165
305,114,164,2313,4,165
305,50,164,2330,4,165
305,88,154,2379,3,155
305,47,144,2453,2,145
305,98,164,2498,4,165
305,112,154,2610,3,155
305,92,154,2661,3,155
305,52,154,2693,3,155
305,28,154,2758,3,155
305,84,154,2790,3,155
305,83,144,2821,2,146
305,100,154,2838,3,155
305,25,134,2869,1,136
305,72,154,2906,3,155
305,31,144,2923,2,145
305,113,134,2954,1,136
305,80,154,2974,3,155
305,13,134,3029,1,135
305,22,164,3095,4,165
305,53,134,3110,1,135
305,23,144,3177,2,145
305,43,144,3211,2,146
305,44,154,3225,3,155
305,15,144,3255,2,145
305,117,134,3272,1,136
305,57,134,3308,1,135
305,46,164,3322,4,165
305,104,154,3352,3,155
