"Subject","Item","PrecritCode","Index","Bin","Event_code"
105,38,164,1474,4,165
105,101,134,1480,1,136
105,26,164,1492,4,165
105,120,154,1498,3,155
111,33,144,12,2,145
111,25,144,25,2,146
111,88,164,31,4,165
111,32,164,44,4,165
111,5,144,64,2,145
111,91,134,77,1,136
111,68,164,83,4,165
111,74,154,95,3,155
111,105,144,101,2,146
111,36,164,113,4,165
111,109,144,139,2,146
111,1,144,159,2,145
111,69,144,171,2,145
111,78,154,183,3,155
111,107,134,189,1,136
111,117,144,201,2,146
111,38,154,207,3,155
111,6,154,232,3,155
111,17,144,238,2,146
111,23,134,250,1,135
111,4,164,263,4,165
111,60,164,269,4,165
111,22,154,287,3,155
111,56,164,293,4,165
111,83,134,318,1,136
111,77,144,324,2,146
111,97,144,337,2,146
111,85,144,363,2,146
111,100,164,375,4,165
111,12,164,387,4,165
111,49,144,406,2,145
111,89,144,412,2,146
111,47,134,424,1,135
111,50,154,437,3,155
111,75,134,443,1,135
111,72,164,456,4,165
111,51,134,462,1,135
111,87,134,475,1,135
111,44,164,481,4,165
111,26,154,494,3,155
111,45,144,506,2,146
111,55,134,512,1,136
111,99,134,530,1,136
111,92,164,543,4,165
111,96,164,562,4,165
111,80,164,574,4,165
111,42,154,599,3,155
111,90,154,625,3,155
111,76,164,637,4,165
111,48,164,650,4,165
111,106,154,656,3,155
111,101,144,669,2,146
111,104,164,675,4,165
111,82,154,693,3,155
111,95,134,706,1,136
111,86,154,718,3,155
111,19,134,730,1,135
111,53,144,749,2,145
111,108,164,762,4,165
111,118,154,774,3,155
111,21,144,786,2,145
111,73,144,792,2,146
111,39,134,805,1,136
111,37,144,836,2,145
111,35,134,842,1,135
111,119,134,854,1,135
111,71,134,873,1,136
111,40,164,885,4,165
111,103,134,891,1,136
111,81,144,903,2,146
111,27,134,909,1,135
111,113,144,921,2,146
111,64,164,927,4,165
111,7,134,939,1,135
111,66,154,952,3,155
111,29,144,965,2,145
111,52,164,977,4,165
111,111,134,983,1,136
111,28,164,1003,4,165
111,67,134,1016,1,136
111,41,144,1022,2,146
111,115,134,1034,1,136
111,30,154,1047,3,155
111,18,154,1060,3,155
111,65,144,1072,2,146
111,46,154,1085,3,155
111,2,154,1098,3,155
111,70,154,1111,3,155
111,112,164,1117,4,165
111,16,164,1136,4,165
111,10,154,1142,3,155
111,57,144,1154,2,145
111,62,154,1167,3,155
111,59,134,1180,1,136
111,116,164,1186,4,165
111,13,144,1199,2,145
111,94,154,1212,3,155
111,20,164,1218,4,165
111,8,164,1230,4,165
111,120,164,1243,4,165
111,93,144,1249,2,146
111,114,154,1261,3,155
111,15,134,1273,1,135
111,61,144,1286,2,146
111,58,154,1305,3,155
111,54,154,1325,3,155
111,34,154,1350,3,155
111,102,154,1369,3,155
111,84,164,1375,4,165
111,9,144,1388,2,145
111,98,154,1394,3,155
111,31,134,1420,1,135
111,11,134,1433,1,135
111,63,134,1439,1,136
111,43,134,1457,1,136
111,79,134,1463,1,136
111,3,134,1475,1,135
111,24,164,1481,4,165
111,110,154,1493,3,155
111,14,154,1499,3,155
112,35,154,4,3,155
112,42,144,10,2,146
112,81,164,23,4,165
112,2,144,35,2,146
112,43,154,41,3,155
112,75,154,54,3,155
112,80,134,67,1,136
112,28,134,79,1,135
112,14,144,85,2,145
112,57,164,97,4,165
112,17,164,115,4,165
112,88,134,140,1,136
112,41,164,159,4,165
112,61,164,178,4,165
112,93,164,190,4,165
112,53,164,203,4,165
112,52,134,215,1,136
112,33,164,228,4,165
112,29,164,241,4,165
112,62,144,267,2,145
112,26,144,280,2,145
112,90,144,299,2,146
112,110,144,305,2,145
112,79,154,318,3,155
112,108,134,324,1,135
112,112,134,343,1,135
112,78,144,362,2,146
112,77,164,374,4,165
112,56,134,386,1,136
112,66,144,398,2,145
112,103,154,404,3,155
112,5,164,416,4,165
112,44,134,429,1,135
112,32,134,435,1,135
112,111,154,448,3,155
112,6,144,454,2,145
112,92,134,466,1,136
112,74,144,472,2,145
112,68,134,485,1,136
112,106,144,491,2,146
112,91,154,503,3,155
112,97,164,509,4,165
112,99,154,522,3,155
112,39,154,535,3,155
112,54,144,547,2,145
112,64,134,578,1,136
112,120,134,597,1,136
112,86,144,623,2,145
112,40,134,635,1,136
112,10,144,647,2,145
112,13,164,659,4,165
112,63,154,665,3,155
112,105,164,677,4,165
112,102,144,714,2,146
112,34,144,734,2,145
112,27,154,740,3,155
112,107,154,753,3,155
112,114,144,766,2,146
112,47,154,778,3,155
112,95,154,792,3,155
112,22,144,805,2,145
112,45,164,817,4,165
112,38,144,836,2,146
112,46,144,842,2,146
112,8,134,855,1,135
112,85,164,861,4,165
112,50,144,874,2,145
112,3,154,886,3,155
112,58,144,892,2,145
112,55,154,904,3,155
112,96,134,916,1,135
112,82,144,929,2,146
112,59,154,935,3,155
112,119,154,947,3,155
112,67,154,959,3,155
112,23,154,971,3,155
112,30,144,997,2,145
112,70,144,1010,2,146
112,4,134,1029,1,135
112,89,164,1035,4,165
112,113,164,1047,4,165
112,36,134,1060,1,135
112,115,154,1073,3,155
112,73,164,1085,4,165
112,16,134,1098,1,135
112,25,164,1104,4,165
112,18,144,1117,2,145
112,87,154,1123,3,155
112,49,164,1135,4,165
112,109,164,1147,4,165
112,83,154,1159,3,155
112,60,134,1172,1,136
112,1,164,1185,4,165
112,31,154,1191,3,155
112,72,134,1210,1,135
112,84,134,1216,1,135
112,9,164,1228,4,165
112,19,154,1234,3,155
112,98,144,1247,2,146
112,101,164,1259,4,165
112,15,154,1272,3,155
112,65,164,1278,4,165
112,100,134,1291,1,135
112,21,164,1303,4,165
112,118,144,1309,2,146
112,117,164,1322,4,165
112,37,164,1347,4,165
112,71,154,1353,3,155
112,48,134,1366,1,136
112,7,154,1379,3,155
112,24,134,1399,1,135
112,76,134,1412,1,136
